IdExecMin,StrategyExec,App,AppFramework,AppTpFramework,DeviceConfig,SuiteTestCaseName,QttEventsMapping,Successful,TotalTime,QttExec,QttEventsExec,QttEventsExecSuccessful,QttEventsExecUnSuccessful,PercentageEventSuccessful,TotalTimeEventsSuccessful
1,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
2,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
3,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
4,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
5,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
6,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
7,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
8,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F1,4,0,0,1,1,0,1,0,0
9,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
10,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
11,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
12,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
13,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
14,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
15,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
16,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F1,4,0,0,1,1,0,1,0,0
17,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,17527.1640625,1,4,4,0,100,12745.21875
18,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,35185.15625,1,4,4,0,100,29910.703125
19,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,17762.5625,1,4,4,0,100,12941.5546875
20,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,17851.703125,1,4,2,0,50,1243.109375
21,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,17623.4609375,1,4,4,0,100,12881.7890625
22,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,17741.015625,1,4,2,0,50,1213.078125
23,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,18221.5,1,4,2,0,50,1353.796875
24,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F1,4,1,18327.234375,1,4,0,0,0,0
25,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,16414.921875,1,2,1,1,25,9931.375
26,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,88647.5234375,1,2,1,1,25,82842.8828125
27,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,15761.9375,1,2,1,1,25,9881.546875
28,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,16304.2265625,1,2,1,1,25,10178.1328125
29,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,21569.7890625,1,2,0,1,0,0
30,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,15477.6953125,1,2,1,1,25,9720.5390625
31,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,16457.7578125,1,2,1,1,25,9928.8359375
32,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F1,4,0,15653.1875,1,2,1,1,25,9768.8984375
33,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,139323.546875,1,4,4,0,100,115280.3359375
35,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,90924.6484375,1,4,4,0,100,69379.6171875
36,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,101186.1015625,1,4,2,0,50,21713.4296875
37,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,91959.15625,1,4,4,0,100,69056.59375
38,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,103112.015625,1,4,2,0,50,21647.8203125
39,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,102742.59375,1,4,2,0,50,21557.609375
40,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F1,4,1,101067.9296875,1,4,2,0,50,22196.46875
41,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
42,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
43,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
44,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
45,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
46,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
47,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
48,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android4-4-TabletSamsung,F2,5,0,0,1,1,0,1,0,0
49,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
50,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
51,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
52,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
53,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
54,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
55,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
56,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android5-1-MotoG1,F2,5,0,0,1,1,0,1,0,0
57,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,17729.640625,1,5,4,1,80,12858.90625
58,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,34341.5078125,1,5,4,1,80,29538.03125
59,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,18209.203125,1,5,4,1,80,13275.1328125
60,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,17238.21875,1,5,1,1,20,476.859375
61,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,17765.2421875,1,5,4,1,80,12948.3046875
62,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,17860.4140625,1,5,1,1,20,573.3984375
63,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,17767.109375,1,5,1,1,20,479.8359375
64,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",Android6-0-1-MotoG4,F2,5,0,17248.4921875,1,5,0,1,0,0
65,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,16082.2265625,1,2,1,1,20,10050.4609375
66,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,89912.828125,1,2,1,1,20,83976.921875
68,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,15640.4453125,1,2,1,1,20,9706.75
69,IndividualExpressionAncestorAttributes,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,15903.6640625,1,2,1,1,20,9616.4140625
70,IndividualExpressionAncestorIndex,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,21295.703125,1,2,0,1,0,0
71,IndividualExpressionCrossPlatform,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,15658.1796875,1,2,1,1,20,9457.578125
72,IndividualExpressionElementType,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,17846.203125,1,2,1,1,20,9761.2421875
73,IndividualExpressionIdentifyAttributes,MovieApp,ReactNative,"Native Cross-Platform",IOS10-2-iPad4,F2,5,0,16037.6328125,1,2,1,1,20,9903.796875
74,CombinedExpressionsInOrder,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,154380.875,1,5,5,0,100,122165.1015625
75,CombinedExpressionsMultiLocator,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,598146.6640625,1,5,5,0,100,510672.2109375
76,IndividualExpressionAbsolutePath,MovieApp,ReactNative,"Native Cross-Platform",IOS9-3-iPad,F2,5,1,110258.5234375,1,5,5,0,100,79473.265625
